2026-01-22 14:01:11.859 [main] INFO  - Loading server properties...
2026-01-22 14:01:11.897 [main] INFO  - Selected English (eng) as the base language
2026-01-22 14:01:11.905 [main] INFO  - Starting Minecraft: BE server version §bv1.21.130§r
2026-01-22 14:01:14.190 [main] INFO  - Successfully loaded 2628 recipes
2026-01-22 14:01:14.205 [main] INFO  - Successfully loaded 0 resource packs
2026-01-22 14:01:14.211 [main] INFO  - Opening server on 0.0.0.0:19132
2026-01-22 14:01:14.342 [main] INFO  - This server is running Nukkit version §egit-fdb7c9e§f "§b§f" (API 1.1.0)
2026-01-22 14:01:14.343 [main] INFO  - Nukkit is distributed under the GPL License
2026-01-22 14:01:14.815 [main] INFO  - Preparing level "§aworld§f"
2026-01-22 14:01:14.905 [main] INFO  - Preparing level "§anether§f"
2026-01-22 14:01:15.939 [main] INFO  - Preparing level "§athe_end§f"
2026-01-22 14:01:15.970 [main] INFO  - Done (4.806s)! For help, type "help" or "?"
